Software ver: OPC-N3 Alphasense 1.0.6457.18465
Device SerNo,OPC-N3 177470016                                            
InfoString,OPC-N3 Iss1.1 FirmwareVer=1.17............................BS
Laser digital pot setting,145
Fan digital pot setting,255
ToF to SFR factor,56
Bins,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin23 (upper boundary)
Bin low boundary (ADC o/p),14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Bin low boundary (particle diameter [um]),0.35,0.46,0.66,1.00,1.30,1.70,2.30,3.00,4.00,5.20,6.50,8.00,10.00,12.00,14.00,16.00,18.00,20.00,22.00,25.00,28.00,31.00,34.00,37.00,40.00
Bin mean (particle diameter [um]),0.41,0.56,0.83,1.15,1.50,2.00,2.65,3.50,4.60,5.85,7.25,9.00,11.00,13.00,15.00,17.00,19.00,21.00,23.50,26.50,29.50,32.50,35.50,38.50
Vol of a particle in bin (um3),0.0348,0.0920,0.2994,0.7963,1.7671,4.1888,9.7440,22.4493,50.9650,104.8253,199.5320,381.7035,696.9100,1150.3465,1767.1459,2572.4408,3591.3640,4849.0483,6795.1995,9743.9769,13442.0241,17974.1642,23425.2202,29880.0150
Weighting for bin,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Data:
OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
43578.7265160185,3.206,0.401,0.401,0.200,0.401,0.000,0.200,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,11.00,0.00,0.00,5.010,4.99,5.02,29.4,30.7,6,0,614,3,0,609,0.08,0.39,5.73,0.06,0.30,4.48
43578.7266317593,2.605,1.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,0.00,0.00,4.208,4.99,5.02,29.5,30.5,2,0,614,2,0,608,0.04,0.04,4.11,0.06,0.29,4.55
43578.7267475,3.607,0.601,0.401,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.67,0.00,0.00,0.00,4.810,4.99,5.06,29.5,30.5,1,0,576,3,0,608,0.06,0.12,0.13,0.06,0.29,4.45
43578.7268632407,3.407,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,0.00,0.00,0.00,4.208,4.99,5.06,29.5,30.5,1,0,643,1,0,609,0.03,0.16,8.28,0.06,0.29,4.64
43578.7269789815,2.806,0.601,0.200,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,11.67,9.67,0.00,4.008,4.99,5.08,29.6,30.3,1,0,593,4,0,610,0.05,0.18,0.23,0.06,0.28,4.57
43578.7270947222,3.006,0.601,0.000,0.000,0.000,0.000,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.00,0.00,0.00,0.00,4.008,4.99,5.10,29.6,30.3,0,0,596,4,0,608,0.03,0.30,2.10,0.06,0.28,4.19
43578.727210463,2.806,0.601,0.401,0.000,0.000,0.000,0.000,0.200,0.401,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.67,0.00,0.00,11.33,4.609,4.99,5.13,29.7,30.3,3,0,610,5,0,609,0.04,0.51,7.41,0.06,0.29,4.17
43578.7273262037,3.808,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.33,0.00,0.00,0.00,4.409,4.99,5.17,29.7,30.2,4,0,657,1,0,609,0.03,0.06,5.04,0.06,0.29,4.09
43578.7274419444,3.206,0.601,0.401,0.200,0.000,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.33,8.67,9.67,0.00,4.810,4.99,5.22,29.7,30.2,0,0,598,1,0,609,0.06,0.30,1.91,0.06,0.29,3.85
43578.7275576852,3.607,0.401,0.601,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.33,0.00,0.00,0.00,4.609,4.99,5.17,29.8,30.1,1,0,598,3,0,610,0.05,0.06,0.06,0.06,0.28,3.83
43578.7276734259,3.607,0.401,0.401,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.67,0.00,0.00,0.00,4.810,4.99,5.20,29.8,30.0,0,0,600,1,0,609,0.05,0.21,8.74,0.06,0.28,4.09
43578.7277891667,3.808,1.202,0.200,0.000,0.601,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.33,0.00,0.00,0.00,6.012,4.99,5.18,29.9,30.0,3,0,592,1,0,607,0.08,0.26,5.25,0.06,0.27,4.23
43578.7279049074,5.010,0.200,0.200,0.200,0.000,0.000,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,9.67,0.00,0.00,6.012,4.99,5.17,29.9,30.0,2,0,540,6,0,608,0.06,0.39,0.78,0.06,0.28,3.89
43578.7280206481,3.006,0.802,0.401,0.000,0.200,0.200,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,9.00,0.00,12.33,0.00,5.210,4.99,5.11,29.9,29.9,1,0,555,3,0,609,0.07,0.54,4.98,0.06,0.28,3.99
43578.7281363889,2.405,1.002,0.200,0.000,0.401,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,0.00,0.00,14.00,4.409,4.99,5.07,30.0,29.7,2,0,584,3,0,609,0.06,0.33,9.53,0.06,0.27,4.22
43578.7282521296,3.206,0.401,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.67,0.00,0.00,0.00,4.008,4.99,5.05,30.0,29.7,0,0,586,0,0,609,0.04,0.16,1.77,0.06,0.26,4.22
