date,>0.30 ?m,>0.40 ?m,>0.50 ?m,>0.65 ?m,>0.80 ?m,>1.0 ?m,>1.6 ?m,>2.0 ?m,>3.0 ?m,>4.0 ?m,>5.0 ?m,>7.5 ?m,>10.0 ?m,>15.0 ?m,>20.0 ?m
04/04/2019 20.46.00,500,55,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.47.00,430,60,30,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.48.00,525,75,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.49.00,430,90,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.50.00,450,85,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.51.00,445,60,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.52.00,490,100,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.53.00,465,90,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.54.00,455,120,35,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.55.00,510,95,20,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 20.56.00,450,85,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.57.00,385,55,20,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.58.00,480,50,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.59.00,465,55,10,10,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 21.00.00,435,80,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.01.00,320,55,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.02.00,405,70,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.03.00,385,70,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.04.00,465,105,40,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.05.00,385,50,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.06.00,495,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.07.00,440,75,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.08.00,380,75,20,15,15,5,5,3,0,0,0,0,0,0,0
04/04/2019 21.09.00,475,90,20,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 21.10.00,360,25,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.11.00,480,90,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.12.00,450,95,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.13.00,465,70,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.14.00,480,100,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.15.00,400,55,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.16.00,435,95,15,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.17.00,425,40,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.18.00,370,55,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.19.00,315,40,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.20.00,415,75,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.21.00,295,40,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.22.00,380,45,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.23.00,345,50,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.24.00,355,60,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.25.00,445,80,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.26.00,415,50,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.27.00,450,70,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.28.00,425,85,35,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.29.00,380,60,10,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.30.00,425,90,30,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.31.00,360,40,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.32.00,360,55,5,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 21.33.00,360,75,35,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.34.00,425,75,25,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.35.00,415,75,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.36.00,435,100,15,5,5,5,5,0,0,0,0,0,0,0,0
04/04/2019 21.37.00,430,60,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.38.00,365,50,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.39.00,425,85,30,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.40.00,310,70,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.41.00,305,50,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.42.00,425,85,20,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.43.00,365,55,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 21.44.00,325,40,10,5,5,0,0,0,0,0,0,0,0,0,0
