date,Bin00,Bin00_counts_ml,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
4/23/2019 17:28,3.808,0.735135135,1.202,0.2,0,0.601,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,6.012,4.99,5.18,29.9,30,3,0,592,1,0,607,0.08,0.26,5.25,0.06,0.27,4.23
4/23/2019 17:28,5.01,0.969052224,0.2,0.2,0.2,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.67,0,0,6.012,4.99,5.17,29.9,30,2,0,540,6,0,608,0.06,0.39,0.78,0.06,0.28,3.89
4/23/2019 17:28,3.006,0.588258317,0.802,0.401,0,0.2,0.2,0.401,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,9,0,12.33,0,5.21,4.99,5.11,29.9,29.9,1,0,555,3,0,609,0.07,0.54,4.98,0.06,0.28,3.99
4/23/2019 17:28,2.405,0.474358974,1.002,0.2,0,0.401,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,8.67,0,0,14,4.409,4.99,5.07,30,29.7,2,0,584,3,0,609,0.06,0.33,9.53,0.06,0.27,4.22
4/23/2019 17:28,3.206,0.634851485,0.401,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,4.008,4.99,5.05,30,29.7,0,0,586,0,0,609,0.04,0.16,1.77,0.06,0.26,4.22
4/23/2019 17:28,4.81,0.963927856,0.601,0.401,0.2,0.2,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,9.33,8.67,11,0,6.613,4.99,4.99,30,29.7,1,0,589,2,0,609,0.09,0.27,8.95,0.06,0.27,4.3
4/23/2019 17:29,3.407,0.666731898,1.202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,4.609,4.99,5.11,30.1,29.6,0,0,616,4,0,609,0.04,0.04,0.04,0.06,0.26,4.29
4/23/2019 17:29,2.806,0.546978558,0.802,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,13.33,4.008,4.99,5.13,30.1,29.6,0,0,564,4,0,610,0.04,0.3,0.98,0.06,0.26,3.97
4/23/2019 17:29,2.806,0.552362205,0.601,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3.808,4.99,5.08,30.1,29.5,2,0,568,0,0,609,0.04,0.09,8.63,0.06,0.24,3.89
4/23/2019 17:29,4.208,0.833267327,0.401,0.2,0,0,0.401,0.2,0,0,0.2,0,0,0.2,0.401,0,0,0,0,0,0,0,0,0,0,9,0,11.33,0,6.212,4.99,5.05,30.1,29.6,0,0,589,2,0,609,0.06,0.49,29.61,0.06,0.25,4.88
4/23/2019 17:29,3.407,0.67199211,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,0,0,4.008,4.99,5.07,30.1,29.4,4,0,591,3,0,609,0.04,0.24,0.45,0.06,0.25,4.78
4/23/2019 17:29,3.808,0.740856031,0.601,0.401,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,7,0,11,0,5.611,4.99,5.14,30.2,29.4,3,0,597,4,0,609,0.07,0.38,5.81,0.06,0.26,4.97
4/23/2019 17:30,3.808,0.729501916,0.601,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11.33,0,4.81,4.99,5.22,30.2,29.4,1,0,585,1,0,609,0.05,0.2,0.25,0.05,0.25,4.95
4/23/2019 17:30,4.409,0.839809524,0.601,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,0,9.33,0,5.611,4.99,5.25,30.2,29.3,1,0,524,3,0,610,0.06,0.36,0.6,0.05,0.26,4.96
4/23/2019 17:30,3.607,0.692322457,0.601,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,4.609,4.99,5.21,30.2,29.3,2,0,561,3,0,610,0.03,0.09,10.14,0.05,0.24,5.18
4/23/2019 17:30,3.206,0.620116054,0.401,0.601,0,0.2,0,0.2,0.601,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,0,12,5.411,4.99,5.17,30.3,29.3,4,0,559,4,0,609,0.06,0.87,4.52,0.05,0.26,5.09
4/23/2019 17:30,3.808,0.735135135,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,4.208,4.99,5.18,30.3,29.2,3,0,559,6,0,610,0.04,0.04,0.04,0.05,0.26,5.09
